msoa11cd,msoa11hclnm
E02001259,Old Trafford
E02001260,Trafford Park West & Kingsway Park
E02001261,Gorse Hill
E02001262,Firswood
E02001263,Davyhulme
E02001264,Trafford Park East & Sevenways
E02001265,Flixton & Moorside
E02001266,Lostock & Stretford Meadows
E02001267,Urmston East
E02001268,Urmston West
E02001269,Stretford East
E02001270,Sale North
E02001271,Ashton upon Mersey North
E02001272,Sale East
E02001273,Sale Central
E02001274,Ashton upon Mersey South
E02001275,Partington
E02001276,Sale Moor
E02001277,Broadheath & Firsway
E02001278,West Timperley
E02001279,Timperley North
E02001280,Timperley East
E02001281,Timperley South
E02001282,Altrincham East
E02001283,"Altrincham West, Dunham & Warburton"
E02001284,Hale
E02001285,Bowdon
E02001286,Hale Barns
