date,uniqueCasePositivityBySpecimenDateRollingSum
2020-05-22,6.8
2020-05-21,6.7
2020-05-20,6.7
2020-05-19,7
2020-05-18,6.5
2020-05-17,6.3
2020-05-16,6.2
2020-05-15,6.1
2020-05-14,6.5
2020-05-13,6.9
2020-05-12,6.9
2020-05-11,7.1
2020-05-10,7.3
2020-05-09,7.6
2020-05-08,8.1
2020-05-07,7.3
2020-05-06,7.2
2020-05-05,7.8
2020-05-04,7.9
2020-05-03,8
2020-05-02,8.6
2020-05-01,8.9
2020-04-30,10.5
2020-04-29,12.8
2020-04-28,16
2020-04-27,19.8
2020-04-26,22.9
2020-04-25,23.8
2020-04-24,25.2
2020-04-23,27.9
2020-04-22,30.3
2020-04-21,30
2020-04-20,30.4
2020-04-19,30.9
2020-04-18,32.3
2020-04-17,33.3
2020-04-16,35.6
2020-04-15,35.9
2020-04-14,39.2
2020-04-13,38.3
2020-04-12,38.1
2020-04-11,40.6
2020-04-10,40.6
2020-04-09,40.7
2020-04-08,42.8
2020-04-07,44.6
2020-04-06,45.6
2020-04-05,48
2020-04-04,46.4
2020-04-03,47
2020-04-02,43.8
2020-04-01,39.8
2020-03-31,37.1
2020-03-30,37.4
2020-03-29,32.7
2020-03-28,32.6
2020-03-27,28.5
2020-03-26,29.7
2020-03-25,26.1
2020-03-24,23
2020-03-23,19.9
2020-03-22,18.2
2020-03-21,14.7
2020-03-20,12.9
2020-03-19,11.4
2020-03-18,11.2
2020-03-17,8.7
2020-03-16,10.2
2020-03-15,10.8
2020-03-14,9.9
2020-03-13,10.7
2020-03-12,9.6
2020-03-11,6.3
2020-03-10,9.4
2020-03-09,5.8
2020-03-08,7.8
2020-03-07,8.9
2020-03-06,8.7
2020-03-05,10
2020-03-04,11.8
2020-03-03,14.3
2020-03-02,13
