areaCode,areaName,areaType,date,newCasesBySpecimenDate
E92000001,England,nation,2023-12-13,583
E92000001,England,nation,2023-12-12,1040
E92000001,England,nation,2023-12-11,1183
E92000001,England,nation,2023-12-10,947
E92000001,England,nation,2023-12-09,771
E92000001,England,nation,2023-12-08,882
E92000001,England,nation,2023-12-07,807
E92000001,England,nation,2023-12-06,945
E92000001,England,nation,2023-12-05,933
E92000001,England,nation,2023-12-04,950
E92000001,England,nation,2023-12-03,687
E92000001,England,nation,2023-12-02,519
E92000001,England,nation,2023-12-01,538
E92000001,England,nation,2023-11-30,655
E92000001,England,nation,2023-11-29,727
E92000001,England,nation,2023-11-28,682
E92000001,England,nation,2023-11-27,685
E92000001,England,nation,2023-11-26,506
E92000001,England,nation,2023-11-25,424
E92000001,England,nation,2023-11-24,545
E92000001,England,nation,2023-11-23,562
E92000001,England,nation,2023-11-22,612
E92000001,England,nation,2023-11-21,590
E92000001,England,nation,2023-11-20,695
E92000001,England,nation,2023-11-19,547
E92000001,England,nation,2023-11-18,449
E92000001,England,nation,2023-11-17,510
E92000001,England,nation,2023-11-16,662
E92000001,England,nation,2023-11-15,629
E92000001,England,nation,2023-11-14,760
E92000001,England,nation,2023-11-13,739
E92000001,England,nation,2023-11-12,593
E92000001,England,nation,2023-11-11,291
E92000001,England,nation,2023-11-10,275
E92000001,England,nation,2023-11-09,493
E92000001,England,nation,2023-11-08,693
E92000001,England,nation,2023-11-07,817
E92000001,England,nation,2023-11-06,780
E92000001,England,nation,2023-11-05,683
E92000001,England,nation,2023-11-04,592
E92000001,England,nation,2023-11-03,734
E92000001,England,nation,2023-11-02,809
E92000001,England,nation,2023-11-01,865
E92000001,England,nation,2023-10-31,954
E92000001,England,nation,2023-10-30,1011
E92000001,England,nation,2023-10-29,847
E92000001,England,nation,2023-10-28,737
E92000001,England,nation,2023-10-27,932
E92000001,England,nation,2023-10-26,1013
E92000001,England,nation,2023-10-25,1021
E92000001,England,nation,2023-10-24,1151
E92000001,England,nation,2023-10-23,1175
E92000001,England,nation,2023-10-22,988
E92000001,England,nation,2023-10-21,868
E92000001,England,nation,2023-10-20,1145
E92000001,England,nation,2023-10-19,1320
E92000001,England,nation,2023-10-18,1395
E92000001,England,nation,2023-10-17,1411
E92000001,England,nation,2023-10-16,1445
E92000001,England,nation,2023-10-15,1219
E92000001,England,nation,2023-10-14,1120
E92000001,England,nation,2023-10-13,1467
E92000001,England,nation,2023-10-12,1543
E92000001,England,nation,2023-10-11,1894
E92000001,England,nation,2023-10-10,2027
E92000001,England,nation,2023-10-09,2234
E92000001,England,nation,2023-10-08,2068
E92000001,England,nation,2023-10-07,1666
E92000001,England,nation,2023-10-06,2116
E92000001,England,nation,2023-10-05,2254
E92000001,England,nation,2023-10-04,2447
E92000001,England,nation,2023-10-03,2658
E92000001,England,nation,2023-10-02,2645
E92000001,England,nation,2023-10-01,2360
E92000001,England,nation,2023-09-30,1928
E92000001,England,nation,2023-09-29,2125
E92000001,England,nation,2023-09-28,2318
E92000001,England,nation,2023-09-27,2667
E92000001,England,nation,2023-09-26,2698
E92000001,England,nation,2023-09-25,2561
E92000001,England,nation,2023-09-24,2007
E92000001,England,nation,2023-09-23,1555
E92000001,England,nation,2023-09-22,1680
E92000001,England,nation,2023-09-21,1825
E92000001,England,nation,2023-09-20,1893
E92000001,England,nation,2023-09-19,1950
E92000001,England,nation,2023-09-18,1929
E92000001,England,nation,2023-09-17,1605
E92000001,England,nation,2023-09-16,1318
E92000001,England,nation,2023-09-15,1341
E92000001,England,nation,2023-09-14,1532
E92000001,England,nation,2023-09-13,1522
E92000001,England,nation,2023-09-12,1675
E92000001,England,nation,2023-09-11,1824
E92000001,England,nation,2023-09-10,1580
E92000001,England,nation,2023-09-09,1334
E92000001,England,nation,2023-09-08,1548
E92000001,England,nation,2023-09-07,1708
E92000001,England,nation,2023-09-06,1860
E92000001,England,nation,2023-09-05,1891
E92000001,England,nation,2023-09-04,1969
E92000001,England,nation,2023-09-03,1637
