regionCode,regionName,UtlaCode,UtlaName,LtlaCode,LtlaName,areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingRate,newCasesBySpecimenDateRollingSum
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001281,Timperley South,msoa,2023-10-14,39.1,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001260,Trafford Park West & Kingsway Park,msoa,2023-10-07,91.3,7
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001263,Davyhulme,msoa,2023-10-07,35.9,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001265,Flixton & Moorside,msoa,2023-10-07,99,8
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001267,Urmston East,msoa,2023-10-07,95.3,7
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001273,Sale Central,msoa,2023-10-07,38.7,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001275,Partington,msoa,2023-10-07,94,8
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001277,Broadheath & Firsway,msoa,2023-10-07,41.3,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001282,Altrincham East,msoa,2023-10-07,48.7,5
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001260,Trafford Park West & Kingsway Park,msoa,2023-09-30,91.3,7
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001262,Firswood,msoa,2023-09-30,34.4,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001265,Flixton & Moorside,msoa,2023-09-30,37.1,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001273,Sale Central,msoa,2023-09-30,38.7,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001274,Ashton upon Mersey South,msoa,2023-09-30,49.3,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001275,Partington,msoa,2023-09-30,35.2,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001276,Sale Moor,msoa,2023-09-30,48.3,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001280,Timperley East,msoa,2023-09-30,35.5,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001282,Altrincham East,msoa,2023-09-30,48.7,5
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001286,Hale Barns,msoa,2023-09-30,36,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001265,Flixton & Moorside,msoa,2023-09-23,37.1,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001269,Stretford East,msoa,2023-09-23,71.3,6
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001271,Ashton upon Mersey North,msoa,2023-09-23,46.1,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001274,Ashton upon Mersey South,msoa,2023-09-23,49.3,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001277,Broadheath & Firsway,msoa,2023-09-23,31,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001281,Timperley South,msoa,2023-09-23,39.1,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001283,"Altrincham West, Dunham & Warburton",msoa,2023-09-23,30.6,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001265,Flixton & Moorside,msoa,2023-09-16,37.1,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001268,Urmston West,msoa,2023-09-16,43.5,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001273,Sale Central,msoa,2023-09-16,29,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001284,Hale,msoa,2023-09-16,35.5,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001267,Urmston East,msoa,2023-09-09,40.8,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001269,Stretford East,msoa,2023-09-09,47.6,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001270,Sale North,msoa,2023-09-09,34.9,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001283,"Altrincham West, Dunham & Warburton",msoa,2023-09-09,30.6,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001284,Hale,msoa,2023-09-09,35.5,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001285,Bowdon,msoa,2023-09-09,37.4,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001261,Gorse Hill,msoa,2023-09-02,34.9,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001276,Sale Moor,msoa,2023-09-02,36.2,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001278,West Timperley,msoa,2023-09-02,34.3,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001283,"Altrincham West, Dunham & Warburton",msoa,2023-09-02,30.6,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001286,Hale Barns,msoa,2023-09-02,36,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001263,Davyhulme,msoa,2023-08-19,47.9,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001277,Broadheath & Firsway,msoa,2023-08-19,31,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001267,Urmston East,msoa,2023-08-12,40.8,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001278,West Timperley,msoa,2023-08-12,34.3,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001262,Firswood,msoa,2023-08-05,45.9,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001268,Urmston West,msoa,2023-08-05,43.5,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001274,Ashton upon Mersey South,msoa,2023-08-05,37,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001260,Trafford Park West & Kingsway Park,msoa,2023-07-29,52.2,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001270,Sale North,msoa,2023-07-29,46.6,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001283,"Altrincham West, Dunham & Warburton",msoa,2023-07-22,30.6,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001282,Altrincham East,msoa,2023-06-17,29.2,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001281,Timperley South,msoa,2023-06-10,39.1,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001261,Gorse Hill,msoa,2023-06-03,34.9,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001270,Sale North,msoa,2023-06-03,34.9,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001285,Bowdon,msoa,2023-06-03,37.4,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001272,Sale East,msoa,2023-05-20,36.1,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001261,Gorse Hill,msoa,2023-05-13,34.9,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001264,Trafford Park East & Sevenways,msoa,2023-05-06,35.2,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001273,Sale Central,msoa,2023-05-06,29,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001286,Hale Barns,msoa,2023-05-06,36,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001263,Davyhulme,msoa,2023-04-29,35.9,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001268,Urmston West,msoa,2023-04-29,43.5,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001261,Gorse Hill,msoa,2023-04-22,34.9,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001264,Trafford Park East & Sevenways,msoa,2023-04-22,47,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001268,Urmston West,msoa,2023-04-22,43.5,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001270,Sale North,msoa,2023-04-22,34.9,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001272,Sale East,msoa,2023-04-22,36.1,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001277,Broadheath & Firsway,msoa,2023-04-22,31,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001259,Old Trafford,msoa,2023-04-15,26.1,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001267,Urmston East,msoa,2023-04-15,40.8,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001270,Sale North,msoa,2023-04-15,34.9,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001272,Sale East,msoa,2023-04-15,36.1,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001273,Sale Central,msoa,2023-04-15,29,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001276,Sale Moor,msoa,2023-04-15,48.3,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001279,Timperley North,msoa,2023-04-15,35.3,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001283,"Altrincham West, Dunham & Warburton",msoa,2023-04-15,40.8,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001259,Old Trafford,msoa,2023-04-08,26.1,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001262,Firswood,msoa,2023-04-08,34.4,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001263,Davyhulme,msoa,2023-04-08,95.8,8
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001266,Lostock & Stretford Meadows,msoa,2023-04-08,43.3,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001268,Urmston West,msoa,2023-04-08,43.5,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001280,Timperley East,msoa,2023-04-08,47.4,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001286,Hale Barns,msoa,2023-04-08,36,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001263,Davyhulme,msoa,2023-04-01,71.8,6
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001265,Flixton & Moorside,msoa,2023-04-01,49.5,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001267,Urmston East,msoa,2023-04-01,81.7,6
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001268,Urmston West,msoa,2023-04-01,43.5,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001273,Sale Central,msoa,2023-04-01,29,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001274,Ashton upon Mersey South,msoa,2023-04-01,61.6,5
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001276,Sale Moor,msoa,2023-04-01,36.2,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001277,Broadheath & Firsway,msoa,2023-04-01,31,3
