areaCode,areaName,areaType,date,hospitalCases
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-12-08,57
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-12-07,52
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-12-06,60
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-12-05,58
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-12-04,54
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-12-03,40
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-12-02,51
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-12-01,48
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-30,53
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-29,49
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-28,51
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-27,48
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-26,50
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-25,44
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-24,45
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-23,44
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-22,49
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-21,52
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-20,57
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-19,55
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-18,55
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-17,54
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-16,59
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-15,63
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-14,59
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-13,64
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-12,53
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-11,53
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-10,53
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-09,51
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-08,58
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-07,62
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-06,64
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-05,71
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-04,73
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-03,68
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-02,73
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-01,69
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-31,65
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-30,65
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-29,68
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-28,71
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-27,73
