areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E08000009,Trafford,ltla,2023-12-06,90+,0,1,41.6
E08000009,Trafford,ltla,2023-12-06,unassigned,0,0,NA
E08000009,Trafford,ltla,2023-12-05,00_04,1,1,7.1
E08000009,Trafford,ltla,2023-12-05,00_59,2,7,3.8
E08000009,Trafford,ltla,2023-12-05,05_09,0,0,0
E08000009,Trafford,ltla,2023-12-05,10_14,0,0,0
E08000009,Trafford,ltla,2023-12-05,15_19,0,1,7.3
E08000009,Trafford,ltla,2023-12-05,20_24,0,0,0
E08000009,Trafford,ltla,2023-12-05,25_29,0,0,0
E08000009,Trafford,ltla,2023-12-05,30_34,0,0,0
E08000009,Trafford,ltla,2023-12-05,35_39,0,0,0
E08000009,Trafford,ltla,2023-12-05,40_44,0,0,0
E08000009,Trafford,ltla,2023-12-05,45_49,1,3,17.6
E08000009,Trafford,ltla,2023-12-05,50_54,0,1,5.9
E08000009,Trafford,ltla,2023-12-05,55_59,0,1,6.2
E08000009,Trafford,ltla,2023-12-05,60+,0,7,12.9
E08000009,Trafford,ltla,2023-12-05,60_64,0,1,7.7
E08000009,Trafford,ltla,2023-12-05,65_69,0,0,0
E08000009,Trafford,ltla,2023-12-05,70_74,0,2,18.7
E08000009,Trafford,ltla,2023-12-05,75_79,0,0,0
E08000009,Trafford,ltla,2023-12-05,80_84,0,3,50
E08000009,Trafford,ltla,2023-12-05,85_89,0,0,0
E08000009,Trafford,ltla,2023-12-05,90+,0,1,41.6
E08000009,Trafford,ltla,2023-12-05,unassigned,0,0,NA
E08000009,Trafford,ltla,2023-12-04,00_04,0,0,0
E08000009,Trafford,ltla,2023-12-04,00_59,2,7,3.8
E08000009,Trafford,ltla,2023-12-04,05_09,0,0,0
E08000009,Trafford,ltla,2023-12-04,10_14,0,0,0
E08000009,Trafford,ltla,2023-12-04,15_19,0,1,7.3
E08000009,Trafford,ltla,2023-12-04,20_24,0,0,0
E08000009,Trafford,ltla,2023-12-04,25_29,0,0,0
E08000009,Trafford,ltla,2023-12-04,30_34,0,0,0
E08000009,Trafford,ltla,2023-12-04,35_39,0,0,0
E08000009,Trafford,ltla,2023-12-04,40_44,0,0,0
E08000009,Trafford,ltla,2023-12-04,45_49,1,2,11.7
E08000009,Trafford,ltla,2023-12-04,50_54,0,2,11.8
E08000009,Trafford,ltla,2023-12-04,55_59,1,2,12.4
E08000009,Trafford,ltla,2023-12-04,60+,3,8,14.7
E08000009,Trafford,ltla,2023-12-04,60_64,0,1,7.7
E08000009,Trafford,ltla,2023-12-04,65_69,0,0,0
E08000009,Trafford,ltla,2023-12-04,70_74,2,2,18.7
E08000009,Trafford,ltla,2023-12-04,75_79,0,0,0
E08000009,Trafford,ltla,2023-12-04,80_84,1,3,50
E08000009,Trafford,ltla,2023-12-04,85_89,0,0,0
E08000009,Trafford,ltla,2023-12-04,90+,0,2,83.2
E08000009,Trafford,ltla,2023-12-04,unassigned,0,0,NA
E08000009,Trafford,ltla,2023-12-03,00_04,0,0,0
E08000009,Trafford,ltla,2023-12-03,00_59,0,7,3.8
E08000009,Trafford,ltla,2023-12-03,05_09,0,0,0
E08000009,Trafford,ltla,2023-12-03,10_14,0,0,0
E08000009,Trafford,ltla,2023-12-03,15_19,0,1,7.3
E08000009,Trafford,ltla,2023-12-03,20_24,0,1,9.5
E08000009,Trafford,ltla,2023-12-03,25_29,0,1,8
E08000009,Trafford,ltla,2023-12-03,30_34,0,0,0
E08000009,Trafford,ltla,2023-12-03,35_39,0,0,0
E08000009,Trafford,ltla,2023-12-03,40_44,0,0,0
E08000009,Trafford,ltla,2023-12-03,45_49,0,1,5.9
E08000009,Trafford,ltla,2023-12-03,50_54,0,2,11.8
E08000009,Trafford,ltla,2023-12-03,55_59,0,1,6.2
E08000009,Trafford,ltla,2023-12-03,60+,2,10,18.4
E08000009,Trafford,ltla,2023-12-03,60_64,0,1,7.7
E08000009,Trafford,ltla,2023-12-03,65_69,0,2,18.5
E08000009,Trafford,ltla,2023-12-03,70_74,0,0,0
E08000009,Trafford,ltla,2023-12-03,75_79,0,0,0
E08000009,Trafford,ltla,2023-12-03,80_84,1,3,50
E08000009,Trafford,ltla,2023-12-03,85_89,0,0,0
E08000009,Trafford,ltla,2023-12-03,90+,1,4,166.4
E08000009,Trafford,ltla,2023-12-03,unassigned,0,0,NA
E08000009,Trafford,ltla,2023-12-02,00_04,0,0,0
E08000009,Trafford,ltla,2023-12-02,00_59,2,8,4.4
E08000009,Trafford,ltla,2023-12-02,05_09,0,1,6
E08000009,Trafford,ltla,2023-12-02,10_14,0,0,0
E08000009,Trafford,ltla,2023-12-02,15_19,1,1,7.3
E08000009,Trafford,ltla,2023-12-02,20_24,0,1,9.5
E08000009,Trafford,ltla,2023-12-02,25_29,0,1,8
E08000009,Trafford,ltla,2023-12-02,30_34,0,0,0
E08000009,Trafford,ltla,2023-12-02,35_39,0,0,0
E08000009,Trafford,ltla,2023-12-02,40_44,0,0,0
E08000009,Trafford,ltla,2023-12-02,45_49,0,1,5.9
E08000009,Trafford,ltla,2023-12-02,50_54,1,2,11.8
E08000009,Trafford,ltla,2023-12-02,55_59,0,1,6.2
E08000009,Trafford,ltla,2023-12-02,60+,0,9,16.5
E08000009,Trafford,ltla,2023-12-02,60_64,0,1,7.7
E08000009,Trafford,ltla,2023-12-02,65_69,0,3,27.8
E08000009,Trafford,ltla,2023-12-02,70_74,0,0,0
E08000009,Trafford,ltla,2023-12-02,75_79,0,0,0
E08000009,Trafford,ltla,2023-12-02,80_84,0,2,33.3
E08000009,Trafford,ltla,2023-12-02,85_89,0,0,0
E08000009,Trafford,ltla,2023-12-02,90+,0,3,124.8
E08000009,Trafford,ltla,2023-12-02,unassigned,0,0,NA
E08000009,Trafford,ltla,2023-12-01,00_04,0,0,0
E08000009,Trafford,ltla,2023-12-01,00_59,0,8,4.4
E08000009,Trafford,ltla,2023-12-01,05_09,0,1,6
E08000009,Trafford,ltla,2023-12-01,10_14,0,0,0
E08000009,Trafford,ltla,2023-12-01,15_19,0,0,0
E08000009,Trafford,ltla,2023-12-01,20_24,0,2,19
E08000009,Trafford,ltla,2023-12-01,25_29,0,1,8
E08000009,Trafford,ltla,2023-12-01,30_34,0,0,0
E08000009,Trafford,ltla,2023-12-01,35_39,0,1,5.8
E08000009,Trafford,ltla,2023-12-01,40_44,0,0,0
E08000009,Trafford,ltla,2023-12-01,45_49,0,1,5.9
E08000009,Trafford,ltla,2023-12-01,50_54,0,1,5.9
E08000009,Trafford,ltla,2023-12-01,55_59,0,1,6.2
E08000009,Trafford,ltla,2023-12-01,60+,1,9,16.5
E08000009,Trafford,ltla,2023-12-01,60_64,1,1,7.7
E08000009,Trafford,ltla,2023-12-01,65_69,0,3,27.8
E08000009,Trafford,ltla,2023-12-01,70_74,0,0,0
E08000009,Trafford,ltla,2023-12-01,75_79,0,0,0
E08000009,Trafford,ltla,2023-12-01,80_84,0,2,33.3
E08000009,Trafford,ltla,2023-12-01,85_89,0,0,0
E08000009,Trafford,ltla,2023-12-01,90+,0,3,124.8
E08000009,Trafford,ltla,2023-12-01,unassigned,0,0,NA
E08000009,Trafford,ltla,2023-11-30,00_04,0,1,7.1
E08000009,Trafford,ltla,2023-11-30,00_59,1,9,4.9
E08000009,Trafford,ltla,2023-11-30,05_09,0,1,6
E08000009,Trafford,ltla,2023-11-30,10_14,0,0,0
E08000009,Trafford,ltla,2023-11-30,15_19,0,0,0
E08000009,Trafford,ltla,2023-11-30,20_24,0,2,19
E08000009,Trafford,ltla,2023-11-30,25_29,0,1,8
E08000009,Trafford,ltla,2023-11-30,30_34,0,0,0
E08000009,Trafford,ltla,2023-11-30,35_39,0,1,5.8
E08000009,Trafford,ltla,2023-11-30,40_44,0,0,0
E08000009,Trafford,ltla,2023-11-30,45_49,1,1,5.9
E08000009,Trafford,ltla,2023-11-30,50_54,0,1,5.9
E08000009,Trafford,ltla,2023-11-30,55_59,0,1,6.2
E08000009,Trafford,ltla,2023-11-30,60+,0,8,14.7
E08000009,Trafford,ltla,2023-11-30,60_64,0,0,0
E08000009,Trafford,ltla,2023-11-30,65_69,0,3,27.8
E08000009,Trafford,ltla,2023-11-30,70_74,0,0,0
E08000009,Trafford,ltla,2023-11-30,75_79,0,0,0
E08000009,Trafford,ltla,2023-11-30,80_84,0,2,33.3
E08000009,Trafford,ltla,2023-11-30,85_89,0,0,0
E08000009,Trafford,ltla,2023-11-30,90+,0,3,124.8
E08000009,Trafford,ltla,2023-11-30,unassigned,0,0,NA
E08000009,Trafford,ltla,2023-11-29,00_04,0,1,7.1
E08000009,Trafford,ltla,2023-11-29,00_59,0,10,5.5
E08000009,Trafford,ltla,2023-11-29,05_09,0,1,6
E08000009,Trafford,ltla,2023-11-29,10_14,0,1,5.9
E08000009,Trafford,ltla,2023-11-29,15_19,0,0,0
E08000009,Trafford,ltla,2023-11-29,20_24,0,2,19
E08000009,Trafford,ltla,2023-11-29,25_29,0,1,8
E08000009,Trafford,ltla,2023-11-29,30_34,0,0,0
E08000009,Trafford,ltla,2023-11-29,35_39,0,1,5.8
E08000009,Trafford,ltla,2023-11-29,40_44,0,0,0
E08000009,Trafford,ltla,2023-11-29,45_49,0,0,0
E08000009,Trafford,ltla,2023-11-29,50_54,0,1,5.9
E08000009,Trafford,ltla,2023-11-29,55_59,0,2,12.4
E08000009,Trafford,ltla,2023-11-29,60+,1,9,16.5
E08000009,Trafford,ltla,2023-11-29,60_64,0,0,0
E08000009,Trafford,ltla,2023-11-29,65_69,0,3,27.8
E08000009,Trafford,ltla,2023-11-29,70_74,0,1,9.4
E08000009,Trafford,ltla,2023-11-29,75_79,0,0,0
E08000009,Trafford,ltla,2023-11-29,80_84,1,2,33.3
E08000009,Trafford,ltla,2023-11-29,85_89,0,0,0
E08000009,Trafford,ltla,2023-11-29,90+,0,3,124.8
E08000009,Trafford,ltla,2023-11-29,unassigned,0,0,NA
E08000009,Trafford,ltla,2023-11-28,00_04,0,2,14.2
E08000009,Trafford,ltla,2023-11-28,00_59,2,12,6.6
E08000009,Trafford,ltla,2023-11-28,05_09,0,1,6
E08000009,Trafford,ltla,2023-11-28,10_14,0,1,5.9
E08000009,Trafford,ltla,2023-11-28,15_19,0,0,0
E08000009,Trafford,ltla,2023-11-28,20_24,0,2,19
E08000009,Trafford,ltla,2023-11-28,25_29,0,1,8
E08000009,Trafford,ltla,2023-11-28,30_34,0,1,7
E08000009,Trafford,ltla,2023-11-28,35_39,0,1,5.8
E08000009,Trafford,ltla,2023-11-28,40_44,0,0,0
E08000009,Trafford,ltla,2023-11-28,45_49,0,0,0
E08000009,Trafford,ltla,2023-11-28,50_54,1,1,5.9
E08000009,Trafford,ltla,2023-11-28,55_59,1,2,12.4
E08000009,Trafford,ltla,2023-11-28,60+,1,9,16.5
E08000009,Trafford,ltla,2023-11-28,60_64,0,0,0
E08000009,Trafford,ltla,2023-11-28,65_69,0,4,37
E08000009,Trafford,ltla,2023-11-28,70_74,0,1,9.4
E08000009,Trafford,ltla,2023-11-28,75_79,0,0,0
E08000009,Trafford,ltla,2023-11-28,80_84,0,1,16.7
E08000009,Trafford,ltla,2023-11-28,85_89,0,0,0
E08000009,Trafford,ltla,2023-11-28,90+,1,3,124.8
E08000009,Trafford,ltla,2023-11-28,unassigned,0,0,NA
E08000009,Trafford,ltla,2023-11-27,00_04,0,2,14.2
E08000009,Trafford,ltla,2023-11-27,00_59,2,12,6.6
E08000009,Trafford,ltla,2023-11-27,05_09,0,1,6
E08000009,Trafford,ltla,2023-11-27,10_14,0,1,5.9
E08000009,Trafford,ltla,2023-11-27,15_19,0,0,0
E08000009,Trafford,ltla,2023-11-27,20_24,1,3,28.5
E08000009,Trafford,ltla,2023-11-27,25_29,1,1,8
E08000009,Trafford,ltla,2023-11-27,30_34,0,1,7
E08000009,Trafford,ltla,2023-11-27,35_39,0,1,5.8
E08000009,Trafford,ltla,2023-11-27,40_44,0,1,5.8
E08000009,Trafford,ltla,2023-11-27,45_49,0,0,0
E08000009,Trafford,ltla,2023-11-27,50_54,0,0,0
E08000009,Trafford,ltla,2023-11-27,55_59,0,1,6.2
E08000009,Trafford,ltla,2023-11-27,60+,5,8,14.7
E08000009,Trafford,ltla,2023-11-27,60_64,0,0,0
E08000009,Trafford,ltla,2023-11-27,65_69,2,4,37
E08000009,Trafford,ltla,2023-11-27,70_74,0,1,9.4
E08000009,Trafford,ltla,2023-11-27,75_79,0,0,0
E08000009,Trafford,ltla,2023-11-27,80_84,1,1,16.7
E08000009,Trafford,ltla,2023-11-27,85_89,0,0,0
E08000009,Trafford,ltla,2023-11-27,90+,2,2,83.2
E08000009,Trafford,ltla,2023-11-27,unassigned,0,0,NA
E08000009,Trafford,ltla,2023-11-26,00_04,0,2,14.2
E08000009,Trafford,ltla,2023-11-26,00_59,1,13,7.1
E08000009,Trafford,ltla,2023-11-26,05_09,1,1,6
E08000009,Trafford,ltla,2023-11-26,10_14,0,1,5.9
E08000009,Trafford,ltla,2023-11-26,15_19,0,0,0
E08000009,Trafford,ltla,2023-11-26,20_24,0,2,19
E08000009,Trafford,ltla,2023-11-26,25_29,0,0,0
E08000009,Trafford,ltla,2023-11-26,30_34,0,1,7
E08000009,Trafford,ltla,2023-11-26,35_39,0,2,11.6
E08000009,Trafford,ltla,2023-11-26,40_44,0,3,17.4
E08000009,Trafford,ltla,2023-11-26,45_49,0,0,0
E08000009,Trafford,ltla,2023-11-26,50_54,0,0,0
E08000009,Trafford,ltla,2023-11-26,55_59,0,1,6.2
E08000009,Trafford,ltla,2023-11-26,60+,1,5,9.2
E08000009,Trafford,ltla,2023-11-26,60_64,0,0,0
E08000009,Trafford,ltla,2023-11-26,65_69,1,2,18.5
E08000009,Trafford,ltla,2023-11-26,70_74,0,2,18.7
E08000009,Trafford,ltla,2023-11-26,75_79,0,0,0
E08000009,Trafford,ltla,2023-11-26,80_84,0,0,0
E08000009,Trafford,ltla,2023-11-26,85_89,0,1,26.4
E08000009,Trafford,ltla,2023-11-26,90+,0,0,0
E08000009,Trafford,ltla,2023-11-26,unassigned,0,0,NA
E08000009,Trafford,ltla,2023-11-25,00_04,0,2,14.2
E08000009,Trafford,ltla,2023-11-25,00_59,2,12,6.6
E08000009,Trafford,ltla,2023-11-25,05_09,0,0,0
E08000009,Trafford,ltla,2023-11-25,10_14,0,1,5.9
E08000009,Trafford,ltla,2023-11-25,15_19,0,0,0
E08000009,Trafford,ltla,2023-11-25,20_24,1,2,19
E08000009,Trafford,ltla,2023-11-25,25_29,0,0,0
E08000009,Trafford,ltla,2023-11-25,30_34,0,1,7
E08000009,Trafford,ltla,2023-11-25,35_39,1,2,11.6
E08000009,Trafford,ltla,2023-11-25,40_44,0,3,17.4
E08000009,Trafford,ltla,2023-11-25,45_49,0,0,0
E08000009,Trafford,ltla,2023-11-25,50_54,0,0,0
E08000009,Trafford,ltla,2023-11-25,55_59,0,1,6.2
E08000009,Trafford,ltla,2023-11-25,60+,0,6,11
E08000009,Trafford,ltla,2023-11-25,60_64,0,1,7.7
E08000009,Trafford,ltla,2023-11-25,65_69,0,2,18.5
E08000009,Trafford,ltla,2023-11-25,70_74,0,2,18.7
E08000009,Trafford,ltla,2023-11-25,75_79,0,0,0
E08000009,Trafford,ltla,2023-11-25,80_84,0,0,0
E08000009,Trafford,ltla,2023-11-25,85_89,0,1,26.4
E08000009,Trafford,ltla,2023-11-25,90+,0,0,0
E08000009,Trafford,ltla,2023-11-25,unassigned,0,0,NA
